timestamp,habit,state,is_device,self_reported
2024-01-01 06:05:23,Lamp,on,true,true
2024-01-01 06:07:10,CoffeeMaker,on,true,true
2024-01-01 06:45:00,Workout,completed,false,true
2024-01-01 21:30:12,Reading,completed,false,true
2024-01-02 06:12:45,Lamp,on,true,true
2024-01-02 06:14:02,Heater,on,true,true
2024-01-02 07:00:00,Journaling,completed,false,true
2024-01-02 22:10:33,TV,on,true,true
2024-01-03 06:08:17,Lamp,on,true,true
2024-01-03 06:09:55,CoffeeMaker,on,true,true
2024-01-03 18:20:00,Workout,skipped,false,true
2024-01-03 21:45:10,Meditation,completed,false,true
2024-01-04 06:15:32,Lamp,on,true,true
2024-01-04 06:17:11,SmartPlug,on,true,false
2024-01-04 07:05:00,Journaling,completed,false,true
2024-01-04 20:50:44,Reading,completed,false,true
2024-01-05 06:03:58,Lamp,on,true,true
2024-01-05 06:05:12,CoffeeMaker,on,true,true
2024-01-05 17:45:00,Workout,completed,false,true
2024-01-05 22:30:01,TV,on,true,true
2024-01-06 07:45:12,Lamp,on,true,true
2024-01-06 07:47:30,Heater,on,true,true
2024-01-06 08:10:00,Meditation,skipped,false,true
2024-01-06 21:15:22,Reading,completed,false,true
2024-01-07 08:20:33,Lamp,on,true,true
2024-01-07 08:22:05,CoffeeMaker,on,true,true
2024-01-07 18:00:00,Workout,completed,false,true
2024-01-07 22:05:14,TV,on,true,true
2024-01-08 06:07:41,Lamp,on,true,true
2024-01-08 06:09:09,SmartPlug,on,true,false
2024-01-08 07:00:00,Journaling,completed,false,true
2024-01-08 21:40:55,Meditation,completed,false,true
2024-01-09 06:18:55,Lamp,on,true,true
2024-01-09 06:20:21,CoffeeMaker,on,true,true
2024-01-09 17:30:00,Workout,completed,false,true
2024-01-09 22:25:48,Reading,skipped,false,true
2024-01-10 06:05:14,Lamp,on,true,true
2024-01-10 06:06:33,Heater,on,true,true
2024-01-10 07:15:00,Journaling,completed,false,true
2024-01-10 21:55:02,TV,on,true,false
2024-01-11 06:22:08,Lamp,on,true,true
2024-01-11 06:23:50,CoffeeMaker,on,true,true
2024-01-11 18:10:00,Workout,skipped,false,true
2024-01-11 22:10:19,Meditation,completed,false,true
2024-01-12 06:11:37,Lamp,on,true,true
2024-01-12 06:13:05,SmartPlug,on,true,false
2024-01-12 07:05:00,Journaling,completed,false,true
2024-01-12 20:40:36,Reading,completed,false,true
2024-01-13 07:32:19,Lamp,on,true,true
2024-01-13 07:34:44,CoffeeMaker,on,true,true
2024-01-13 17:20:00,Workout,completed,false,true
2024-01-13 22:45:10,TV,on,true,true
2024-01-14 08:15:44,Lamp,on,true,true
2024-01-14 08:17:02,Heater,on,true,true
2024-01-14 09:00:00,Meditation,skipped,false,true
2024-01-14 21:30:28,Reading,completed,false,true
2024-01-15 06:09:28,Lamp,on,true,true
2024-01-15 06:10:55,CoffeeMaker,on,true,true
2024-01-15 18:00:00,Workout,completed,false,true
2024-01-15 22:20:41,TV,on,true,false
2026-01-07 18:23:52,Gooning,on,True,True
2026-01-07 18:24:06,Gooning,on,True,True
2026-01-07 18:24:41,Gooning,on,True,True
2026-01-07 18:30:30,Gooning,on,True,True
2026-01-07 18:30:46,Gooning,on,True,True
2026-01-07 18:31:04,Gooning,on,True,True
2026-01-09 13:25:18,Gooning,on,True,True
2026-01-09 13:25:26,Gooning,on,True,True
2026-01-09 13:28:48,Gooning,on,True,True
2026-01-09 13:29:13,Gooning,on,True,True
2026-01-09 13:29:31,Gooning,on,True,True
2026-01-09 13:30:40,Gooning,on,True,True
2026-01-09 13:31:26,Gooning,on,True,True
2026-01-09 13:34:09,Gooning,on,True,True
2026-01-09 13:37:20,Gooning,on,True,True
2026-01-09 13:42:06,Gooning,on,True,True
