timestamp,habit,state,is_device,self_reported
2026-01-10 19:22:50,Gaming,on,True,True
2026-01-10 19:25:03,Gaming,on,True,True
2026-01-10 19:25:07,Gaming,on,True,True
2026-01-10 19:29:46,Gaming,on,True,True
2026-01-10 19:29:54,Gaming,on,True,True
2026-01-10 19:31:31,Gaming,on,True,True
2026-01-10 19:54:40,Gaming,on,True,True
2026-01-10 19:56:40,Gaming,on,True,True
2026-01-10 20:02:58,Gaming,on,True,True
2026-01-10 20:06:03,Gaming,on,True,True
2026-01-10 20:06:09,Gaming,on,True,True
2026-01-10 20:07:02,Gaming,on,True,True
2026-01-11 12:27:53,Gaming,on,True,True
2026-01-12 17:07:09,Gaming,on,True,True
2026-01-12 17:34:31,Gaming,on,True,True
2026-01-12 17:42:30,Gaming,on,True,True
2026-01-13 12:09:29,Gaming,on,True,True
2026-01-13 12:10:33,Gaming,on,True,True
2026-01-13 12:11:39,Gaming,on,True,True
2026-01-13 12:13:10,Gaming,on,True,True
2026-01-13 12:14:46,Gaming,on,True,True
2026-01-13 12:15:25,Gaming,on,True,True
2026-01-13 12:16:00,Gaming,on,True,True
2026-01-13 12:20:30,Gaming,on,True,True
2026-01-13 12:20:46,Gaming,on,True,True
2026-01-13 12:21:12,Gaming,on,True,True
2026-01-13 12:21:56,Gaming,on,True,True
2026-01-13 12:23:37,Gaming,on,True,True
2026-01-13 12:28:28,Gaming,on,True,True
2026-01-13 12:35:07,Gaming,on,True,True
2026-01-13 12:40:08,Gaming,on,True,True
2026-01-13 12:40:24,Gaming,on,True,True
2026-01-13 12:40:48,Gaming,on,True,True
2026-01-13 12:40:57,Gaming,on,True,True
2026-01-13 12:41:07,Gaming,on,True,True
2026-01-13 12:41:24,Gaming,on,True,True
2026-01-13 12:41:36,Gaming,on,True,True
2026-01-13 12:44:17,Gaming,on,True,True
2026-01-13 12:44:40,Gaming,on,True,True
2026-01-13 12:45:57,Gaming,on,True,True
2026-01-13 12:49:08,Gaming,on,True,True
2026-01-13 12:51:04,Gaming,on,True,True
2026-01-13 12:56:06,Gaming,on,True,True
2026-01-13 12:56:27,Gaming,on,True,True
2026-01-13 12:56:51,Gaming,on,True,True
2026-01-13 12:57:09,Gaming,on,True,True
2026-01-13 12:57:35,Gaming,on,True,True
2026-01-13 12:58:11,Gaming,on,True,True
2026-01-13 12:59:11,Gaming,on,True,True
2026-01-13 12:59:43,Gaming,on,True,True
2026-01-13 13:00:16,Gaming,on,True,True
2026-01-13 13:04:49,Gaming,on,True,True
2026-01-13 13:08:00,Gaming,on,True,True
2026-01-13 13:32:11,Gaming,on,True,True
